keywords,Rephrase_TH
แพม,แพมเพิร์ส
โฟม,โฟมล้างหน้า
ลิป,ลิปสติก
ลีน,วาสลีน
สิว,สิว
ผสม,ผสม
ผิว,ผิว
ล้าง,ล้างหน้า
คิ้ว,คิ้ว
แปรง,แปรง
โอ้ต,ข้าวโอ้ต
สําลี,สำลี
ใบมีด,ใบมีดโกน
สำอาง,เครื่องสำอาง
แชมพู,แชมพู
สีพีช,สีพีช
ผงผัก,ผงผัก
จัดขน,กำจัดขน
คลํ้า,หมองคล้ำ
บำรุง,บำรุง
สมํ่า,สม่ำเสมอ
เพื่ม,เพิ่ม
สีฟัน,ยาสีฟัน
ลดสิว,ลดสิว
สุขาพ,สุขภาพ
ผงส้ม,ผงส้ม
ชาขาว,ชาขาว
เจลเจล,เจล
กระแดด,กระแดด
โลชั่น,โลชั่น
สีเล็บ,สีทาเล็บ
ลอยสิว,รอยสิว
ผิวสวย,ผิวสวย
ขัดผิว,ขัดผิว
ขับผิว,ขับผิว
ทุกโทน,ทุกโทนสี
ไกลยุง,ไกลยุง
โวชั่น,โลชั่น
ลดหลุม,ลดหลุมสิว
ครีมทา,ครีมทาผิว
ไล่ยุง,ไล่ยุง
สีผมสด,สีผม
สุขภาพ,สุขภาพ
ลดหน้า,ลดหน้ามัน
ไร้ยุง,ไร้ยุง
ผงแป้ง,แป้งฝุ่น
บํารุง,บำรุง
ขจัดขน,กำจัดขน
น้ำหอม,น้ำหอม
ซับสิว,ดูดซับสิว
ขุมขนม,รูขุมขน
รอยสิว,รอยสิว
รอยดํา,รอยดำ
เวคอัพ,เมคอัพ
โฟมโฟม,โฟม
เซรั่ม,เซรั่ม
อมชมพู,อมชมพู
เสปรย์,เสปรย์
กินเจล,เจล
น้ำนมม,น้ำนม
คูชั่น,คุชชั่น
มีสีผม,สีผม
ขาดนํ้า,ขาดน้ำ
แลดูผิว,ดูเเลผิว
ผิวเด็ก,ผิวเด็ก
ปัดคิ้ว,ปัดคิ้ว
ลดไขมัน,ลดไขมัน
แบบฝุ่น,แบบฝุ่น
บลัชออน,บลัชออน
คิ้วค่ะ,คิ้ว
วิตามิน,วิตามิน
ไบโอติก,โปรไบโอติก
ลดเชื้อ,ลดเชื้อแบคทีเรีย
ดูแลผิว,ดูแลผิว
จอห์สัน,จอห์นสัน
ล้างพิษ,ล้างสารพิษ
มีแชมพู,แชมพู
กำจัดขน,กำจัดขน
คนผมบาง,คนผมบาง
ยาทาล็บ,ยาทาเล็บ
โกนหนวด,ที่โกนหนวด
ขอบคิ้ว,คิ้ว
ชิเซโด้,ชิเซโด้
คุชชั่น,คุชชั่น
แป้งแร่,แป้ง
โคนหนวด,โกนหนวด
ฟรุทตี้,ฟรุตตี้
ชาเชียว,ชาเขียว
ขจัดผิว,ขจัดผิวมัน
เช็ดทํา,เช็ดทำความสะอาด
หวีลื่น,หวี
ลิปแคร์,ลิปแคร์
หัวแปรง,หัวแปรง
ผิวแห้ง,ผิวแห้ง
ฟรุตตี้,ฟรุตตี้
ครีมเจล,ครีมเจล
เป็นสิว,สิว
อายบราว,อายบราว
เป็นลิป,ลิป
ดูแลสิว,ดูแลผิว
ลิปกลอส,ลิปกลอส
นํ้าหอม,น้ำหอม
สุขาภาพ,สุขภาพ
รูรากผม,รากผม
กว่าโฟม,โฟม
เล็บเจล,เล็บเจล
ปลอดภัย,ปลอดภัย
สบู่ที่,สบู่
ปังคิ้ว,ปัดคิ้ว
โทเนอร์,โทนเนอร์
คอลลาเจน,คอลลาเจน
ทนยาวนาน,ติดทนยาวนาน
แลดูเล็ก,แลดูเล็กลง
บำรุงมือ,ครีมบำรุงมือ
วิตามินE,วิตามินE
ลดรอยย่น,ลดรอยย่น
ผสมแชมพู,แชมพู
รสทับทิม,ทับทิม
ดิสนี่ย์,ดิสนี่ย์
มีสีเข้ม,สีเข้ม
ไร้ไขมัน,ไร้ไขมัน
แต่งขนตา,แต่งขนตา
ลิปบาล์ม,ลิปบาล์ม
จอห์นสัน,จอห์นสัน
แลดูเด็ก,แลดูเด็กลง
ระชับผิว,กระชับผิว
ติดทนทาน,ติดทนทาน
รอยดำสิว,รอยดำจากสิว
แป้งรุ่น,แป้งฝุ่น
บีบีครีม,BB ครีม
ขนตาปลอม,ขนตาปลอม
กรดผลไม้,กรดผลไม้
สครับผิว,สครับผิว
ชุ่มชื้น,ชุ่มชื้น
าฟันปลอม,ยาสีฟัน
ทาสีเล็บ,สีทาเล็บ
สบู๋ก้อน,สบู่ก้อน
ผิวเรียบ,ผิวเรียบ
สำรับผิว,สำหรับผิว
สีทาเล็บ,สีทาเล็บ
กากอาหาร,กากใยอาหาร
ดูแลเล็บ,ดูแลเล็บ
บำรุงผิว,บำรุงผิว
การอาหาร,กากใยอาหาร
โทนเนอร์,โทนเนอร์
สบู่ก้อน,สบู่ก้อน
ไพรเมอร์,ไพรเมอร์
ผิวสว่าง,ผิวสว่าง
เวชสำอาง,เวชสำอาง
พอลุชั่น,โพลูชั่น
ชำระล้าง,ชำระล้าง
กรดแลคติ,กรดแลคติก
แลดูหน้า,ดูแลหน้า
เทนเนอร์,โทนเนอร์
ดูสุขภาพ,ดูสุขภาพดี
แป๊ะก๊วย,แปะก๊วย
คาโมไมล์,คาโมมายล์
คลีนซิ่ง,คลีนซิ่ง
ชุ่มชื่น,ชุ่มชื่น
เป็นสบู่,สบู่
วิตตามิน,วิตามิน
วิตามินC,วิตามิน C
เป็นแป้ง,แป้ง
ธรรมชาติ,ธรรมชาติ
เป็นไขมัน,ไขมัน
เขียนคิ้ว,ที่เขียนคิ้ว
นํ้าสะอาด,น้ำสะอาด
น้ำมันหอม,น้ำมันหอม
นำสมุนไพร,น้ำสมุนไพร
โฟมฟองโฟม,ฟองโฟม
ชุ่มชื้้น,ชุ่มชื้น
สําลีแผ่น,สำลีแผ่น
วิตามินเอ,วิตามิน A
รอยดําสิว,รอยดำจากสิว
ปิดบาดแผล,ปิดบาดแผล
เบสเมคอัพ,เบสเมคอัพ
คลีนเซอร์,คลีนเซอร์
วิตามินบี,วิตามิน B
ไพร์เมอร์,ไพรเมอร์
ผิวบอบบาง,ผิวบอบบาง
ชุ่มชื่้น,ชุ่มชื่น
ลงรองพื้น,ลงรองพื้น
สารฟอกขาว,สารฟอกขาว
เป็นแชมพู,แชมพู
ผิวกันแดด,ผิวกันแดด
ที่สุขภาพ,สุขภาพ
ดอกซากุระ,ดอกซากุระ
สเปรย์ทับ,สเปรย์
แดงอมชมพู,แดงอมชมพู
ขจัดเซลล์,ขจัดเซลล์ผิว
ผิวมันวาว,ผิวมันวาว
มาสก์แผ่น,มาส์กแผ่น
ปกป้องแดด,ปกป้องแดด
หนังศรีษะ,หนังศรีษะ
วิตามินอี,วิตามิน E
ครีมทาผิว,ครีมทาผิว
ครีมทามือ,ครีมทามือ
ดูแลดวงตา,ดูแลดวงตา
โดยแสงแดด,แสงแดด
โดยคอลเกต,คอลเกต
ผลัดเซลล์,ผลัดเซลล์ผิว
ให้โปรตีน,โปรตีน
เกลือทะเล,เกลือทะเล
โคเอนไซม์,โคเอนไซม์
ผนังศีรษะ,หนังศรีษะ
ทานโปรตีน,ทานโปรตีน
กระชับผิว,กระชับผิว
แบบแคปซูล,แคปซูล
สีชมพูพีช,สีชมพูพีช
ง้อกันแดด,กันแดด
เซรั่มที่,เซรั่ม
ลิควิดลิป,ลิควิดลิป
คลีนเนอร์,คลีนเนอร์
วางพัฟไข่,ที่วางพัฟไข่
หลัดเซลล์,ผลัดเซลล์ผิว
ลิปลิควิด,ลิปลิควิด
หัวขนแปรง,หัวขนแปรง
ผิวสีเข้ม,ผิวสีเข้ม
กักกันแดด,กันแดด
แลดูสุภาพ,แลดูสุภาพ
ครีมทาสิว,ครีมทาสิว
เติมไขมัน,เติมไขมัน
ลงลิปสติก,ลิปสติก
เบสกันแดด,เบสกันแดด
มีวิตามิน,มีวิตามิน
ผสมกันแดด,ผสมกันแดด
เหมือนเจล,เจล
เกิดเซลล์,เกิดเซลล์
เคลนเซอร์,คลีนเซอร์
สารกันแดด,สารกันแดด
เซรั่มผิว,เซรั่มผิว
คู่โลชั่น,โลชั่น
เป็นมาส์ก,มาส์ก
คือวิตามิน,วิตามิน
ล้างกันแดด,ล้างกันแดด
เป็นกันแดด,กันแดด
ดูแลผิวกาย,ดูแลผิวกาย
ลงแป้งฝุ่น,แป้งฝุ่น
ระงับกลิ่น,ระงับกลิ่นกาย
ยาสีฟันฟัน,ยาสีฟัน
มีแคลเซียม,แคลเซียม
ลดความชื้น,ลดความชื้น
คือกระเป๋า,กระเป๋า
ให้ผิวหนัง,ผิวหนัง
ทิชชูเปียก,ทิชชู่เปียก
สมุนไพรจีน,สมุนไพรจีน
หัวแปรงทรง,หัวแปรง
คุณความงาม,ความงาม
ทรงหน้ากาก,หน้ากาก
ใบแป๊ะก๊วย,ใบแปะก๊วย
mlสบู่เหลว,สบู่เหลว
ช็อกโกแล็ต,ช็อกโกแลต
บริเวณหน้า,บริเวณหน้า
มะนาวมะนาว,มะนาว
โพสไบโอติก,โพรไบโอติก
ดูแลสุขภาพ,ดูแลสุขภาพ
เมล็ดองุ่น,เมล็ดองุ่น
โปรไบโอติก,โปรไบโอติก
ตกแต่งเล็บ,ตกแต่งเล็บ
ล้างสารพิษ,ล้างสารพิษ
ไพร์มเมอร์,ไพรเมอร์
เนื้อสําลี,เนื้อสำลี
